Número de Factura,Referencia Interna,Referencia Externa,Tipo de Factura,Estado,Documento del Tercero,Código Términos de Pago,Código Diario Contable,Código Centro de Costo,Cuenta Cliente/Proveedor,Fecha de Emisión,Fecha de Vencimiento,Código de Moneda,Tasa de Cambio,Subtotal,Descuento Total,Impuestos Total,Total,Monto Pagado,Saldo Pendiente,Descripción,Notas,Línea - Secuencia,Línea - Código Producto,Línea - Descripción,Línea - Cantidad,Línea - Precio Unitario,Línea - % Descuento,Línea - Cuenta Contable,Línea - Centro de Costo,Línea - Códigos Impuestos,Línea - Subtotal,Línea - Descuento,Línea - Impuestos,Línea - Total
FV-COD-001,VNT-001,VENTA-CONTADO,CUSTOMER_INVOICE,POSTED,12345678-9,COD,SALES,VENT001,1120,2025-06-25,2025-06-25,USD,1.0000,1000.00,0.00,190.00,1190.00,1190.00,0.00,Venta de contado,Pago contra entrega - Sin crédito,1,PRD-001,Producto COD,1.0000,1000.00,0.00,4105,VENT001,IVA19,1000.00,0.00,190.00,1190.00
FV-IMM-001,VNT-002,VENTA-INMEDIATA,CUSTOMER_INVOICE,POSTED,12345678-9,IMMEDIATE,SALES,VENT001,1120,2025-06-25,2025-06-25,USD,1.0000,500.00,0.00,95.00,595.00,595.00,0.00,Venta con pago inmediato,Transferencia bancaria al momento,1,PRD-002,Producto Inmediato,1.0000,500.00,0.00,4105,VENT001,IVA19,500.00,0.00,95.00,595.00
FV-N15-001,VNT-003,VENTA-15DIAS,CUSTOMER_INVOICE,DRAFT,12345678-9,NET15,SALES,VENT001,1120,2025-06-25,2025-07-10,USD,1.0000,800.00,0.00,152.00,952.00,0.00,952.00,Venta neto 15 días,Pago en 15 días naturales,1,PRD-003,Producto NET15,1.0000,800.00,0.00,4105,VENT001,IVA19,800.00,0.00,152.00,952.00
FV-N30-001,VNT-004,VENTA-30DIAS,CUSTOMER_INVOICE,DRAFT,12345678-9,NET30,SALES,VENT001,1120,2025-06-25,2025-07-25,USD,1.0000,1200.00,0.00,228.00,1428.00,0.00,1428.00,Venta neto 30 días,Plazo estándar de pago,1,PRD-004,Producto NET30,1.0000,1200.00,0.00,4105,VENT001,IVA19,1200.00,0.00,228.00,1428.00
FV-N45-001,VNT-005,VENTA-45DIAS,CUSTOMER_INVOICE,DRAFT,12345678-9,NET45,SALES,VENT001,1120,2025-06-25,2025-08-09,USD,1.0000,1500.00,0.00,285.00,1785.00,0.00,1785.00,Venta neto 45 días,Plazo extendido para clientes corporativos,1,PRD-005,Producto NET45,1.0000,1500.00,0.00,4105,VENT001,IVA19,1500.00,0.00,285.00,1785.00
FV-N60-001,VNT-006,VENTA-60DIAS,CUSTOMER_INVOICE,DRAFT,12345678-9,NET60,SALES,VENT001,1120,2025-06-25,2025-08-24,USD,1.0000,2000.00,0.00,380.00,2380.00,0.00,2380.00,Venta neto 60 días,Plazo máximo para grandes clientes,1,PRD-006,Producto NET60,1.0000,2000.00,0.00,4105,VENT001,IVA19,2000.00,0.00,380.00,2380.00
FV-N90-001,VNT-007,VENTA-90DIAS,CUSTOMER_INVOICE,DRAFT,12345678-9,NET90,SALES,VENT001,1120,2025-06-25,2025-09-23,USD,1.0000,2500.00,0.00,475.00,2975.00,0.00,2975.00,Venta neto 90 días,Plazo especial para gobierno,1,PRD-007,Producto NET90,1.0000,2500.00,0.00,4105,VENT001,IVA19,2500.00,0.00,475.00,2975.00
FV-210N30-001,VNT-008,VENTA-DESC-PRONTO,CUSTOMER_INVOICE,DRAFT,12345678-9,2/10NET30,SALES,VENT001,1120,2025-06-25,2025-07-25,USD,1.0000,3000.00,0.00,570.00,3570.00,0.00,3570.00,Venta con descuento por pronto pago,2% descuento si paga en 10 días o neto a 30,1,PRD-008,Producto 2/10NET30,1.0000,3000.00,0.00,4105,VENT001,IVA19,3000.00,0.00,570.00,3570.00
FV-315N45-001,VNT-009,VENTA-DESC-CORP,CUSTOMER_INVOICE,DRAFT,12345678-9,3/15NET45,SALES,VENT001,1120,2025-06-25,2025-08-09,USD,1.0000,4000.00,0.00,760.00,4760.00,0.00,4760.00,Venta corporativa con descuento,3% descuento si paga en 15 días o neto a 45,1,PRD-009,Producto 3/15NET45,1.0000,4000.00,0.00,4105,VENT001,IVA19,4000.00,0.00,760.00,4760.00
FV-520N60-001,VNT-010,VENTA-DESC-GOB,CUSTOMER_INVOICE,DRAFT,12345678-9,5/20NET60,SALES,VENT001,1120,2025-06-25,2025-08-24,USD,1.0000,5000.00,0.00,950.00,5950.00,0.00,5950.00,Venta gubernamental con descuento,5% descuento si paga en 20 días o neto a 60,1,PRD-010,Producto 5/20NET60,1.0000,5000.00,0.00,4105,VENT001,IVA19,5000.00,0.00,950.00,5950.00
FV-EOM-001,VNT-011,VENTA-FIN-MES,CUSTOMER_INVOICE,DRAFT,12345678-9,EOM,SALES,VENT001,1120,2025-06-25,2025-06-30,USD,1.0000,1800.00,0.00,342.00,2142.00,0.00,2142.00,Venta fin de mes,Pago al final del mes corriente,1,PRD-011,Producto EOM,1.0000,1800.00,0.00,4105,VENT001,IVA19,1800.00,0.00,342.00,2142.00
FV-EOM30-001,VNT-012,VENTA-FIN-MES-30,CUSTOMER_INVOICE,DRAFT,12345678-9,EOM30,SALES,VENT001,1120,2025-06-25,2025-07-30,USD,1.0000,2200.00,0.00,418.00,2618.00,0.00,2618.00,Venta fin de mes más 30,Pago 30 días después del fin de mes,1,PRD-012,Producto EOM30,1.0000,2200.00,0.00,4105,VENT001,IVA19,2200.00,0.00,418.00,2618.00
FV-CIA-001,VNT-013,VENTA-ANTICIPO,CUSTOMER_INVOICE,DRAFT,12345678-9,CIA,SALES,VENT001,1120,2025-06-25,2025-06-20,USD,1.0000,1600.00,0.00,304.00,1904.00,1904.00,0.00,Venta con anticipo,Cash in Advance - Pago anticipado,1,PRD-013,Producto CIA,1.0000,1600.00,0.00,4105,VENT001,IVA19,1600.00,0.00,304.00,1904.00
FC-COD-001,COMP-001,COMPRA-CONTADO,SUPPLIER_INVOICE,POSTED,98765432-1,COD,PURCH,ADMIN001,2105,2025-06-25,2025-06-25,USD,1.0000,800.00,0.00,152.00,952.00,952.00,0.00,Compra de contado,Pago contra entrega,1,PRD-014,Suministro COD,1.0000,800.00,0.00,1205,ADMIN001,IVA19,800.00,0.00,152.00,952.00
FC-N15-001,COMP-002,COMPRA-15DIAS,SUPPLIER_INVOICE,POSTED,98765432-1,NET15,PURCH,ADMIN001,2105,2025-06-20,2025-07-05,USD,1.0000,1200.00,0.00,228.00,1428.00,1000.00,428.00,Compra neto 15 días,Proveedor preferido,1,PRD-015,Suministro NET15,1.0000,1200.00,0.00,1205,ADMIN001,IVA19,1200.00,0.00,228.00,1428.00
FC-N30-001,COMP-003,COMPRA-30DIAS,SUPPLIER_INVOICE,DRAFT,98765432-1,NET30,PURCH,ADMIN001,2105,2025-06-25,2025-07-25,USD,1.0000,1500.00,0.00,285.00,1785.00,0.00,1785.00,Compra neto 30 días,Plazo estándar con proveedor,1,PRD-016,Suministro NET30,1.0000,1500.00,0.00,1205,ADMIN001,IVA19,1500.00,0.00,285.00,1785.00
